id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,date
2115,Bed and breakfast in Como · ★4.97 · 2 bedrooms · 3 beds · 1 shared bath,2313,Helen,,SOUTH PERTH,-32.00657,115.86515,Private room,142.0,2,157,2023-12-23,1.16,1,2,56,,2023-12-23
59311,Home in Perth · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,284743,Rudy And Lina,,GOSNELLS,-32.07628,115.932,Private room,80.0,1,7,2018-04-28,0.04,1,362,0,,2023-12-23
65261,Guest suite in Fremantle · ★4.38 · 1 bedroom · 1 bed · 1 bath,319052,Suzanne Elizabeth,,FREMANTLE,-32.04788,115.76418,Entire home/apt,70.0,2,322,2023-12-10,2.12,1,124,32,,2023-12-23
69534,Bed and breakfast in Perth · ★4.83 · 1 bedroom · 1 bed · 1 private bath,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,129.0,3,12,2022-12-19,0.16,1,145,0,,2023-12-23
88185,Home in Perth · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75.0,2,227,2023-12-08,1.47,2,99,20,,2023-12-23
119422,Home in Hillarys · ★4.90 · 1 bedroom · 1 bed · 1 bath,602975,Mary,,JOONDALUP,-31.8155,115.74252,Private room,75.0,2,40,2023-11-21,0.26,2,340,10,,2023-12-23
141083,Home in Jindalee · 1 bedroom · 1 bed · Half-bath,686529,Suzy,,WANNEROO,-31.65373,115.69259,Private room,195.0,2,0,,,1,0,0,,2023-12-23
141610,Villa in Denmark · ★5.0 · 2 bedrooms · 3 beds · 1 bath,688591,Gadi,,DENMARK,-34.9844,117.35222,Entire home/apt,359.0,5,11,2023-11-29,0.19,4,308,3,,2023-12-23
161731,Townhouse in Mt Lawley · ★4.93 · 1 bedroom · 1 bed · 1 private bath,773536,Eugene And Terry,,VINCENT,-31.93661,115.86692,Private room,100.0,1,189,2023-12-18,1.25,1,310,24,,2023-12-23
173260,Home in Falcon · ★4.76 · 3 bedrooms · 7 beds · 2 baths,827051,Carol,,MANDURAH,-32.58661,115.65384,Entire home/apt,160.0,2,60,2023-12-03,0.45,2,320,14,,2023-12-23
231540,Home in Bridgetown · ★4.88 · 3 bedrooms · 9 beds · 3 baths,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home/apt,324.0,2,179,2023-12-01,1.43,1,289,20,,2023-12-23
820818,Tiny home in Fremantle · ★4.97 · 1 bedroom · 1 bed · 1 bath,4310618,Isabel,,FREMANTLE,-32.06087,115.76125,Entire home/apt,,1,37,2023-06-14,0.34,1,0,2,,2023-12-23
253579,Villa in Melville · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,1331712,Steve,,MELVILLE,-32.03664,115.80028,Private room,49.0,5,50,2023-12-21,0.34,1,87,17,,2023-12-23
824473,Villa in Sorrento · ★4.90 · 1 bedroom · 2 beds · 1 bath,4284891,Kathy,,JOONDALUP,-31.82929,115.74904,Entire home/apt,190.0,3,76,2023-11-26,0.62,1,1,15,,2023-12-23
253921,Townhouse in East Fremantle · ★4.83 · 1 bedroom · 1 bed · 1 private bath,256425,Felicia,,EAST FREMANTLE,-32.03692,115.76475,Private room,125.0,30,12,2023-12-07,0.09,1,345,2,,2023-12-23
254578,Home in Lancelin · 2 bedrooms · 4 beds · 1 bath,1337347,Nicolas,,GINGIN,-31.02462,115.33617,Entire home/apt,181.0,7,2,2016-01-18,0.02,1,330,0,,2023-12-23
274406,Home in Fremantle · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,,FREMANTLE,-32.06245,115.74915,Private room,,4,212,2023-12-04,1.53,4,0,22,,2023-12-23
827350,Rental unit in Perth · ★4.64 · 1 bedroom · 2 beds · 1 bath,3512722,Jemma,,PERTH,-31.95296,115.85607,Entire home/apt,203.0,3,409,2023-12-17,3.05,2,140,36,,2023-12-23
284891,Home in Fremantle · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,,FREMANTLE,-32.06055,115.74953,Private room,,2,309,2023-09-29,2.12,4,0,28,,2023-12-23
284909,Home in Fremantle · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,,FREMANTLE,-32.05854,115.75032,Private room,70.0,3,319,2023-12-05,2.25,4,4,27,,2023-12-23
300640,Home in Beckenham · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,80.0,7,7,2023-08-27,0.05,7,362,1,,2023-12-23
845658,Home in Kensington · ★4.60 · 2 bedrooms · 3 beds · 1 bath,4415443,Claire,,SOUTH PERTH,-31.98066520690918,115.88752746582033,Entire home/apt,180.0,4,206,2023-11-27,1.68,1,54,17,,2023-12-23
304886,Home in South Fremantle · ★4.93 · 1 bedroom · 4 beds · 1.5 baths,1576058,Judy,,FREMANTLE,-32.06388,115.75145,Entire home/apt,354.0,4,27,2023-12-15,0.53,1,160,10,,2023-12-23
862215,Guesthouse in Beaconsfield · ★4.57 · 2 bedrooms · 2 beds · 1 bath,4519171,Karina,,FREMANTLE,-32.07055,115.76281,Entire home/apt,150.0,7,128,2023-11-23,0.97,1,280,7,,2023-12-23
305886,Home in Beckenham · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,45.0,7,12,2022-08-24,0.09,7,270,0,,2023-12-23
868116,Home in Rossmoyne · ★4.76 · 1 bedroom · 1 bed · 1.5 shared baths,4570709,Amy'S Homestay,,COCKBURN,-32.09087,115.84139,Private room,44.0,1,191,2023-11-24,1.48,6,1,15,,2023-12-23
315801,Home in Ardross · ★4.88 · 1 bedroom · 1 shared bath,1621815,Phoebe,,MELVILLE,-32.02918,115.83177,Private room,75.0,5,44,2023-12-13,0.34,1,256,14,,2023-12-23
893135,Condo in South Perth · ★4.77 · 2 bedrooms · 3 beds · 1 bath,4970928,Louise & Jenny,,SOUTH PERTH,-31.976343154907227,115.85882568359376,Entire home/apt,170.0,2,253,2023-12-12,2.11,3,160,54,,2023-12-23
900855,Condo in City Beach · ★4.85 · 1 bedroom · 1 bed · 1 bath,4811719,Chris & Vivien,,CAMBRIDGE,-31.94543,115.75952,Entire home/apt,185.0,3,89,2023-11-06,0.67,1,266,14,,2023-12-23
324068,Home in Leederville · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,1658156,Petar,,VINCENT,-31.92666,115.84529,Entire home/apt,320.0,4,8,2023-07-24,0.51,1,12,6,,2023-12-23
913152,Rental unit in Perth · ★4.68 · 2 bedrooms · 5 beds · 1.5 baths,4900907,Brenda,,CLAREMONT,-31.97001,115.78906,Entire home/apt,121.0,2,103,2023-09-30,0.79,3,263,14,,2023-12-23
913192,Home in Heathridge · ★4.78 · 1 bedroom · 1 bed · 1 private bath,1415497,John,,JOONDALUP,-31.76769,115.75543,Private room,40.0,2,101,2023-12-02,0.77,1,276,20,,2023-12-23
348872,Rental unit in Albany · ★4.87 · 1 bedroom · 1 bed · 1 bath,1767860,Jenni,,ALBANY,-35.02808748543544,117.88728588114829,Entire home/apt,112.0,1,567,2023-12-08,3.94,1,66,68,,2023-12-23
928945,Rental unit in Fremantle · ★4.77 · 3 bedrooms · 7 beds · 1.5 baths,5000938,Garth,,FREMANTLE,-32.05365,115.74625,Entire home/apt,270.0,3,133,2020-10-16,1.04,1,0,0,,2023-12-23
363087,Townhouse in Middleton Beach · ★4.84 · 3 bedrooms · 4 beds · 1 bath,1834803,Barbara,,ALBANY,-35.02647,117.91196,Entire home/apt,310.0,2,169,2023-11-15,2.03,1,221,26,,2023-12-23
960551,Villa in Tuart Hill · 1 bedroom · 3 beds · 1 bath,5230044,Doria,,STIRLING,-31.89836,115.83409,Private room,,1,1,2013-06-01,0.01,1,0,0,,2023-12-23
373860,Home in Beckenham · ★4.86 · 1 bedroom · 1 bed · 2 shared baths,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,60.0,7,7,2022-11-30,0.06,7,351,0,,2023-12-23
971395,Rental unit in Claremont · ★4.79 · 1 bedroom · 1.5 baths,4900907,Brenda,,CLAREMONT,-31.96943,115.78791,Entire home/apt,109.0,2,133,2023-12-09,1.03,3,265,15,,2023-12-23
390748,Home in Wilson · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,1937593,Chantelle & Lance,,CANNING,-32.01531,115.90725,Entire home/apt,800.0,2,38,2015-12-08,0.27,1,364,0,,2023-12-23
