id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,81,1,0,,,1,364
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,7,2019-10-03,0.12,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00395,115.91394,Private room,60,3,0,,,2,365
58329,Trewent Farmhouse -  rustic & rambling,277321,Karen,,MANJIMUP,-34.35542,116.18267,Entire home/apt,220,2,42,2020-03-02,0.42,2,174
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.06,1,362
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,61,2,229,2020-03-12,2.16,1,359
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84369,115.8044,Private room,74,2,3,2019-11-04,0.10,1,354
81044,Welcome Home Family Villa near Fremantle,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,150,4,5,2020-01-07,0.07,1,234
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,364
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.94299,115.85704,Private room,69,2,185,2020-03-12,1.70,2,111
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,214,2020-03-11,1.98,1,356
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,50,2,22,2019-11-24,0.21,3,362
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,260,5,1,2019-02-18,0.08,4,308
152402,"Room for two Close to Perth's Beaches! Shops, etc.",733345,Jacqueline,,JOONDALUP,-31.77481,115.7647,Private room,69,2,46,2020-03-03,0.45,3,364
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.93846,115.86798,Private room,69,1,88,2020-02-16,0.84,2,344
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,124,2,20,2020-01-05,0.23,2,322
