id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,100,2,10,2019-02-17,0.13,1,164
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,71,1,0,,,1,365
42713,Bed with Breakfast,186576,Not,,IRWIN,-29.25216,114.93205,Private room,94,1,4,2019-03-05,0.09,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00395,115.91394,Private room,60,3,0,,,2,365
46463,HideAway Haven-Luxury Accommodation,207854,Maggie,,ALBANY,-34.98551,117.92371,Private room,296,1,3,2018-09-24,0.03,1,363
58329,Trewent Farmhouse -  rustic & rambling,277321,Karen,,MANJIMUP,-34.35542,116.18267,Entire home/apt,215,2,30,2019-03-04,0.35,2,339
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.07,1,362
59917,Santa Maria Room! Fremantle,288343,Allan,,FREMANTLE,-32.06883,115.77681,Private room,189,2,0,,,3,364
60102,Leeuwin Room! Fremantle,288343,Allan,,FREMANTLE,-32.06751,115.77666,Private room,168,2,0,,,3,364
60103,Endeavour Room! Fremantle,288343,Allan,,FREMANTLE,-32.06737,115.77715,Private room,168,2,0,,,3,364
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,47,2,184,2019-03-01,1.97,1,342
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84382,115.80659,Private room,75,2,2,2019-02-11,0.12,1,340
76855,Sunny Space Betw Perth & Fremantle,353141,Richie & Gill,,MELVILLE,-32.04313,115.82905,Private room,90,1,14,2016-07-23,0.16,1,365
81044,Welcome Home Family Villa near Freo,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,119,4,4,2018-04-30,0.07,1,214
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.94299,115.85704,Private room,70,2,139,2019-03-06,1.45,2,209
97608,"single bed and cozy room, melville.",423161,Paul Pax,,MELVILLE,-32.04428,115.7971,Private room,45,1,23,2017-04-01,0.24,1,365
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,188,2019-02-24,1.97,1,337
102501,"""Home away from home"". Fast Wifi. Fr $40pn (min 5)",535797,Liz,,STIRLING,-31.91316,115.78193,Private room,53,5,0,,,2,116
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,50,2,20,2018-08-18,0.22,3,365
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,260,5,1,2019-02-18,1,4,344
142567,Templemore Gardens_Single Bedroom 1,691076,Pauline,,SOUTH PERTH,-32.0175,115.88602,Private room,73,2,24,2019-02-01,0.27,2,348
152402,"Room for two Close to Perth's Beaches! Shops, etc.",733345,Jacqueline,,JOONDALUP,-31.77481,115.7647,Private room,70,1,43,2019-01-25,0.47,3,364
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.93846,115.86798,Private room,70,1,82,2019-02-13,0.89,2,365
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,125,2,16,2019-02-20,0.21,2,350
178529,Reuben House Master Room Fremantle,854483,Brenda,,FREMANTLE,-32.06446,115.7586,Private room,70,7,5,2012-09-04,0.06,8,249
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.94108,115.85282,Private room,60,4,47,2018-07-21,0.52,1,171
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97,116.14822,Entire home/apt,210,1,53,2019-03-04,0.80,2,330
246389,Reuben House  Romantic White Room,854483,Brenda,,FREMANTLE,-32.0643,115.75711,Private room,65,7,2,2012-06-30,0.02,8,250
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03495,115.80114,Private room,48,5,29,2016-11-16,0.33,1,365
253730,Your own Space near City/Airport,626194,Judy And Peter,,STIRLING,-31.90193,115.85971,Private room,70,1,90,2018-03-23,1.01,1,357
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.0356,115.76413,Private room,80,5,3,2014-12-07,0.04,1,350
254578,Back Beach Cottage,1337347,Nicolas,,GINGIN,-31.02491,115.33661,Entire home/apt,220,2,2,2016-01-18,0.04,2,363
272670,"Comfortable, Friendly, Quiet Busselton location!",168705,Carol & Michael,,BUSSELTON,-33.66397,115.38456,Private room,75,1,3,2018-12-04,0.73,1,0
274406,Live Like a Local,1430540,Trish,,FREMANTLE,-32.06293,115.7481,Private room,61,1,127,2019-02-24,1.59,3,29
275727,Cosy Apartment near Mullaloo  Beach,725628,Maryellen,,JOONDALUP,-31.78395,115.75115,Entire home/apt,100,7,13,2019-02-07,0.15,1,345
276265,Reuben House Blue Room with Views,854483,Brenda,,FREMANTLE,-32.05999,115.75464,Private room,70,7,1,2013-08-31,0.01,8,249
276729,Reuben House the Front Room Diva ,854483,Brenda,,FREMANTLE,-32.0648,115.75701,Private room,70,7,1,2013-07-21,0.01,8,249
280001,Queen Bed/sitter 10 min to Airport,1460059,Baz,,SWAN,-31.90343,115.99427,Private room,60,3,6,2013-09-30,0.07,2,365
284891,CoSy Vintage Room,1430540,Trish,,FREMANTLE,-32.05991,115.74854,Private room,54,1,170,2019-02-26,1.95,3,33
284909,Peaceful  Perfect Location,1430540,Trish,,FREMANTLE,-32.05772,115.75002,Private room,53,1,158,2019-02-25,1.89,3,4
287495,Perth city Views/2bedroom .,1495559,Dawn,,VINCENT,-31.92662,115.85845,Entire home/apt,102,1,33,2018-12-04,0.51,1,249
297746,Less than 20 Min to Perth Airport.,1535254,John,,SWAN,-31.86518,116.05208,Private room,48,1,49,2019-02-28,0.58,3,334
297749,Private Bedroom (2)  Pool + B/R,1535254,John,,SWAN,-31.86406,116.05199,Private room,67,1,14,2015-09-22,0.16,3,363
299829,Amazing Polehome! Haven of peace,1545083,Heike,,KALAMUNDA,-31.98806,116.04019,Private room,95,1,0,,,1,365
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03118,115.95838,Private room,54,7,3,2016-10-05,0.04,8,365
304886,Silver Street Studios: Fremantle’s unique retreat,1576058,Judy,,FREMANTLE,-32.0639,115.75135,Entire home/apt,284,3,0,,,2,341
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03128,115.95899,Private room,37,7,7,2014-03-09,0.09,8,365
311393,Margaret River Prevelly beach-studio Casa Del Mar,1601931,Caz,,AUGUSTA-MARGARET RIVER,-33.98634,114.99561,Entire home/apt,129,2,35,2019-03-06,0.78,1,223
315801,Fully Furnished Room / Studio,1621815,Phoebe,,MELVILLE,-32.0296,115.83064,Private room,60,2,11,2019-02-11,0.16,1,350
332709,Swan Valley Retreat Jane Brook WA,1535254,John,,SWAN,-31.86584,116.05148,Private room,67,1,13,2016-12-31,0.15,3,365
332871,FREMANTLE OCEAN VIEWS TO ISLANDS,1696375,Sue,,FREMANTLE,-32.04846,115.75763,Entire home/apt,122,2,35,2019-01-17,0.41,1,151
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.02715,117.88658,Entire home/apt,101,1,245,2019-02-21,2.86,1,50
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02543,117.91209,Entire home/apt,250,2,44,2019-02-11,1.71,1,292
373548,Canterbury st room with ensuite bathroom,1873031,Anton,,VICTORIA PARK,-31.98084,115.89498,Private room,45,7,16,2017-05-23,0.25,2,348
373860,Standard double room AC NBN,1548293,Yan,,GOSNELLS,-32.03152,115.95714,Private room,43,7,4,2019-01-10,0.06,8,365
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.01614,115.90706,Entire home/apt,800,2,38,2015-12-08,0.45,1,364
401138, inviting warm home with the owners,2002278,Jann,,KALAMUNDA,-31.97571,116.0198,Private room,60,1,4,2016-08-26,0.05,2,365
408361,Guest room in private beach house ,1828087,Hope,,ROCKINGHAM,-32.27888,115.72032,Private room,50,1,37,2018-01-05,0.44,1,0
