id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,99,2,15,2019-07-15,0.18,1,140
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,74,1,0,,,1,365
42713,Bed with Breakfast,186576,Not,,IRWIN,-29.25216,114.93205,Private room,94,1,4,2019-03-05,0.08,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00395,115.91394,Private room,59,3,0,,,2,365
46463,HideAway Haven-Luxury Accommodation,207854,Maggie,,ALBANY,-34.98551,117.92371,Private room,295,1,4,2019-04-26,0.04,1,365
58329,Trewent Farmhouse -  rustic & rambling,277321,Karen,,MANJIMUP,-34.35542,116.18267,Entire home/apt,215,2,37,2019-07-21,0.40,2,102
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.07,1,362
59917,Santa Maria Room! Fremantle,288343,Allan,,FREMANTLE,-32.06883,115.77681,Private room,188,2,0,,,3,364
60102,Leeuwin Room! Fremantle,288343,Allan,,FREMANTLE,-32.06751,115.77666,Private room,168,2,0,,,3,364
60103,Endeavour Room! Fremantle,288343,Allan,,FREMANTLE,-32.06737,115.77715,Private room,168,2,0,,,3,364
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,55,2,202,2019-08-05,2.05,1,353
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84369,115.8044,Private room,76,2,2,2019-02-11,0.09,1,340
76855,Sunny Space Betw Perth & Fremantle,353141,Richie & Gill,,MELVILLE,-32.04313,115.82905,Private room,90,1,14,2016-07-23,0.15,1,365
81044,Welcome Home Family Villa near Fremantle,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,150,2,4,2018-04-30,0.06,1,229
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,99,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.94299,115.85704,Private room,70,2,162,2019-05-27,1.60,2,234
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,198,2019-07-21,1.97,1,321
102501,B&B Style. Fr $40pn (min 5nts) Fast Wifi. Nr Bch.,535797,Liz,,STIRLING,-31.91316,115.78193,Private room,52,5,0,,,2,179
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,50,2,20,2018-08-18,0.20,3,362
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,194,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,261,5,1,2019-02-18,0.17,4,338
142567,Templemore Gardens_Single Bedroom 1,691076,Pauline,,SOUTH PERTH,-32.0175,115.88602,Private room,73,2,25,2019-04-20,0.27,2,365
152402,"Room for two Close to Perth's Beaches! Shops, etc.",733345,Jacqueline,,JOONDALUP,-31.77481,115.7647,Private room,70,1,44,2019-03-22,0.46,3,364
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.93846,115.86798,Private room,70,1,83,2019-03-25,0.85,2,356
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,125,2,17,2019-04-22,0.21,2,358
178529,Reuben House Master Room Fremantle,854483,Brenda,,FREMANTLE,-32.06446,115.7586,Private room,70,7,5,2012-09-04,0.05,8,280
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.94108,115.85282,Private room,59,4,47,2018-07-21,0.49,2,180
222387,Wavehouse Studios - AFrame Cabin,1154614,Ken,,BUSSELTON,-33.70333,114.99913,Entire home/apt,200,2,46,2018-12-29,1.18,4,347
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97,116.14822,Entire home/apt,211,2,62,2019-07-20,0.87,2,329
246389,Reuben House  Romantic White Room,854483,Brenda,,FREMANTLE,-32.0643,115.75711,Private room,65,7,2,2012-06-30,0.02,8,280
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03495,115.80114,Private room,49,5,29,2016-11-16,0.31,1,365
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.0356,115.76413,Private room,70,8,3,2014-12-07,0.04,1,358
254578,Back Beach Cottage,1337347,Nicolas,,GINGIN,-31.02491,115.33661,Entire home/apt,219,2,3,2018-06-16,0.05,2,0
272670,"Comfortable, Friendly, Quiet Busselton location!",168705,Carol & Michael,,BUSSELTON,-33.66397,115.38456,Private room,76,1,3,2018-12-04,0.32,1,0
274406,Live Like a Local,1430540,Trish,,FREMANTLE,-32.06293,115.7481,Private room,61,1,133,2019-07-14,1.56,3,9
275727,Cosy Apartment near Mullaloo  Beach,725628,Maryellen,,JOONDALUP,-31.78395,115.75115,Entire home/apt,99,7,13,2019-02-07,0.14,1,345
276265,Reuben House Blue Room with Views,854483,Brenda,,FREMANTLE,-32.05999,115.75464,Private room,70,7,1,2013-08-31,0.01,8,280
276729,Reuben House the Front Room Diva ,854483,Brenda,,FREMANTLE,-32.0648,115.75701,Private room,70,7,1,2013-07-21,0.01,8,280
280001,Queen Bed/sitter 10 min to Airport,1460059,Baz,,SWAN,-31.90343,115.99427,Private room,60,3,8,2018-06-29,0.09,2,0
284891,CoSy Vintage Room,1430540,Trish,,FREMANTLE,-32.05991,115.74854,Private room,53,1,182,2019-07-23,1.97,3,59
284909,Peaceful  Perfect Location,1430540,Trish,,FREMANTLE,-32.05772,115.75002,Private room,52,1,168,2019-07-14,1.90,3,54
287495,Perth city Views/3 bedroom . Monthly discount 25%,1495559,Dawn,,VINCENT,-31.92662,115.85845,Entire home/apt,90,1,34,2019-06-04,0.49,1,365
297746,Less than 20 Min to Perth Airport.,1535254,John,,SWAN,-31.86518,116.05208,Private room,49,1,55,2019-07-15,0.61,3,316
297749,Private Bedroom (2)  Pool + B/R,1535254,John,,SWAN,-31.86406,116.05199,Private room,67,1,14,2015-09-22,0.15,3,363
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03118,115.95838,Private room,53,7,3,2016-10-05,0.04,8,365
304886,Silver Street Studios: Fremantle’s unique retreat,1576058,Judy,,FREMANTLE,-32.0639,115.75135,Entire home/apt,285,3,1,2019-04-09,0.25,2,266
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03128,115.95899,Private room,37,7,7,2014-03-09,0.08,8,364
311393,Margaret River Prevelly beach-studio Casa Del Mar,1601931,Caz,,AUGUSTA-MARGARET RIVER,-33.98634,114.99561,Entire home/apt,130,2,48,2019-07-29,0.96,1,301
315801,Fully Furnished Room / Studio,1621815,Phoebe,,MELVILLE,-32.0296,115.83064,Private room,59,2,14,2019-06-02,0.19,1,215
332709,Swan Valley Retreat Jane Brook WA,1535254,John,,SWAN,-31.86584,116.05148,Private room,67,1,13,2016-12-31,0.15,3,365
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.02715,117.88658,Entire home/apt,102,1,288,2019-07-18,3.17,1,68
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02543,117.91209,Entire home/apt,250,2,55,2019-07-20,1.78,1,306
373860,Standard double room AC NBN,1548293,Yan,,GOSNELLS,-32.03152,115.95714,Private room,43,7,4,2019-01-10,0.06,8,365
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.01614,115.90706,Entire home/apt,799,2,38,2015-12-08,0.42,1,364
401138, inviting warm home with the owners,2002278,Jann,,KALAMUNDA,-31.97571,116.0198,Private room,59,1,4,2016-08-26,0.05,2,365
414417,Old World Charm Home in Cottesloe,1341218,David & Inge,,COTTESLOE,-31.99888,115.75851,Entire home/apt,481,3,15,2018-12-31,0.22,4,359
423049,Cycling Heaven in the City!,2103766,Rick & Sandi,,BASSENDEAN,-31.89739,115.94972,Private room,150,1,0,,,1,365
423227,Eclectic Room for Vegan Guests,1724505,Linda,,VINCENT,-31.93885,115.8811,Private room,70,2,49,2018-11-25,0.57,2,365
428002,Spacious queen room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03206,115.95826,Private room,53,7,4,2016-03-05,0.05,8,365
429588,"2 Bdrm, 1 Bthrm-City-WIFI-Pool-on Free Bus Route",2091272,Brenda,,PERTH,-31.95933,115.8722,Entire home/apt,270,2,25,2019-01-09,0.44,1,186
433850,Blue Lilly! Fremantle Garden Studio,2156223,Silke,,FREMANTLE,-32.06523,115.7546,Entire home/apt,96,3,101,2019-04-22,1.20,1,288
448078,"259 From Behind! Location, Location, Location.",2225308,Sandy & Joe,,BELMONT,-31.96998,115.92894,Entire home/apt,80,1,510,2019-08-05,5.78,1,255
