id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1612,Balcony room in Freo housing co-op ,1782,Robyn,,COCKBURN,-32.08021430141515,115.77307875905343,Private room,30,3,5,2017-09-11,0.11,1,358
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00870728532935,115.86406572293853,Private room,100,2,4,2018-04-21,0.06,1,131
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806054430756,115.87673616505825,Private room,67,1,0,,,1,365
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.252155178274787,114.93204745888801,Private room,94,1,3,2015-09-20,0.08,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00394573231162,115.91394370337542,Private room,61,3,0,,,2,365
46463,HideAway Haven-Luxury Accommodation,207854,Maggie,,ALBANY,-34.98551414124771,117.92371287947643,Private room,295,1,2,2012-12-20,0.02,1,365
58329,Trewent Farmhouse  rustic & rambling,277321,Karen,,MANJIMUP,-34.355424667840204,116.18266704177697,Entire home/apt,219,2,24,2018-04-01,0.30,2,322
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592310209674,115.93187671366992,Private room,65,1,7,2018-04-28,0.08,1,362
59917,Santa Maria Room! Fremantle,288343,Allan,,FREMANTLE,-32.06883443590593,115.77680932233599,Private room,188,2,0,,,3,364
60102,Leeuwin Room! Fremantle,288343,Allan,,FREMANTLE,-32.06750787515015,115.77665717131987,Private room,168,2,0,,,3,364
60103,Endeavour Room! Fremantle,288343,Allan,,FREMANTLE,-32.067367030988926,115.7771507450146,Private room,168,2,0,,,3,364
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964122807801,115.76582013936017,Entire home/apt,44,2,154,2018-06-05,1.80,1,357
69534,Ideally location BB close to shops/bus/Train,348191,Teresa,,JOONDALUP,-31.84381822891661,115.8065877982438,Private room,75,2,1,2017-10-03,0.11,1,360
76855,Sunny Space Betw Perth & Fremantle,353141,Richie & Gill,,MELVILLE,-32.043125382503405,115.82904744714135,Private room,90,1,14,2016-07-23,0.18,1,365
79969,Holiday at Home airy villa nr Freo,431695,Carol,,MELVILLE,-32.04005838834655,115.79228522891101,Entire home/apt,149,4,11,2017-11-12,0.13,2,0
81044,Welcome Home Family Villa near Freo,431695,Carol,,MELVILLE,-32.04561303913653,115.78330093925597,Entire home/apt,110,4,4,2018-04-30,0.08,2,220
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727304604206,115.88767609019435,Private room,100,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942992231189745,115.85703728794829,Private room,70,2,125,2018-06-11,1.42,2,215
97608,"single bed and cozy room, melville.",423161,Paul Pax,,MELVILLE,-32.044277095153255,115.79709627265734,Private room,44,1,23,2017-04-01,0.26,1,365
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.921770175362344,115.87689887254864,Private room,50,2,176,2018-06-10,2.01,2,361
101343,Your own suite of rooms,29779,Helen,,STIRLING,-31.909638714631175,115.88144387183641,Private room,114,1,52,2015-10-04,0.59,1,365
102501,Rooms to let. 1-3 guests. NBN. Quiet. Nr  beach.,535797,Liz,,STIRLING,-31.913162383689603,115.78192614961154,Private room,40,5,0,,,2,348
111142,A Sweet and Stylish City Gem,569858,John,,VINCENT,-31.93737295754198,115.85412387595252,Entire home/apt,100,3,45,2018-04-02,0.53,1,11
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.814178960944773,115.74193581241889,Private room,61,2,18,2018-06-02,0.21,3,365
124133,Constitution Lodge,619475,Jeremy,,PERTH,-31.955053867875172,115.8820590447117,Entire home/apt,201,3,5,2017-12-17,0.21,2,320
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.653240600286992,115.69228430532215,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98307534755648,117.35286202379278,Entire home/apt,260,5,0,,,4,320
142214,Templemore Gardens_Queen Bedroom,691076,Pauline,,SOUTH PERTH,-32.01810301401944,115.88528826322535,Private room,83,1,14,2017-12-03,0.18,2,260
142567,Templemore Gardens_Single Bedroom 1,691076,Pauline,,SOUTH PERTH,-32.017500590878846,115.88601572741499,Private room,73,2,19,2017-12-08,0.24,2,365
152402,"Room for two Close to Perth's Beaches! Shops, etc.",733345,Jacqueline,,JOONDALUP,-31.774813424170816,115.76470271397064,Private room,70,1,42,2018-06-13,0.51,3,364
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.938464154831742,115.8679829928562,Private room,70,1,78,2018-02-25,0.93,2,365
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746154626743,115.65358544905594,Entire home/apt,125,2,14,2018-04-23,0.21,2,262
178529,Reuben House Master Room Fremantle,854483,Brenda,,FREMANTLE,-32.06446208151134,115.758597532419,Private room,70,7,5,2012-09-04,0.06,8,343
200595,Mount Lawley close city/airport 2,529238,Jean,,STIRLING,-31.920918663334955,115.87871114533655,Private room,50,2,149,2018-05-05,1.82,2,361
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.941081974229636,115.85281941460973,Private room,61,4,46,2018-04-11,0.56,2,169
222387,Wavehouse Studios - AFrame Cabin,1154614,Ken,,BUSSELTON,-33.70333252072835,114.99912736957803,Entire home/apt,149,2,41,2018-05-20,1.58,4,325
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.970002212276086,116.14822192352571,Entire home/apt,210,1,40,2018-06-17,0.68,2,316
246389,Reuben House  Romantic White Room,854483,Brenda,,FREMANTLE,-32.06429514700243,115.75711134186277,Private room,65,7,2,2012-06-30,0.03,8,343
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03494758201997,115.8011424914212,Private room,48,5,29,2016-11-16,0.37,1,365
253730,Your own Space near City/Airport,626194,Judy And Peter,,STIRLING,-31.90193348418705,115.8597088248195,Private room,70,1,90,2018-03-23,1.11,1,365
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.03560036895507,115.76413088102665,Private room,89,5,3,2014-12-07,0.04,1,364
254578,Back Beach Cottage,1337347,Nicolas,,GINGIN,-31.024909257549986,115.3366105631768,Entire home/apt,219,7,2,2016-01-18,0.05,2,365
266517,Beachhouse on Worldclass Surf Coast,1296115,Fiona,,BUSSELTON,-33.640760480083934,115.03065079899982,Entire home/apt,400,3,4,2018-04-08,0.14,1,321
274406,Live Like A Local...,1430540,Trish,,FREMANTLE,-32.0629324865553,115.74810224035528,Private room,61,1,101,2018-04-13,1.40,3,80
275727,Cosy Apartment near Mullaloo  Beach,725628,Maryellen,,JOONDALUP,-31.78395228735628,115.75115453614845,Entire home/apt,100,7,12,2016-04-02,0.15,1,363
276265,Reuben House Blue Room with Views,854483,Brenda,,FREMANTLE,-32.059990551487616,115.75464408292153,Private room,70,7,1,2013-08-31,0.02,8,343
276729,Reuben House the Front Room Diva ,854483,Brenda,,FREMANTLE,-32.06479972691228,115.757014611976,Private room,70,7,1,2013-07-21,0.02,8,343
280001,Queen Bed/sitter 10 min to Airport,1460059,Baz,,SWAN,-31.903433697027488,115.99427344252459,Private room,61,3,6,2013-09-30,0.08,2,365
284891,Cosy Vintage Room,1430540,Trish,,FREMANTLE,-32.05990821279492,115.74853633202989,Private room,54,1,140,2018-05-17,1.77,3,28
284909,"Peaceful, Perfect Location",1430540,Trish,,FREMANTLE,-32.05771850625253,115.7500210263015,Private room,52,1,133,2018-06-03,1.76,3,43
287495,Perth city Views/2bedroom ..monthly discount 30%,1495559,Dawn,,VINCENT,-31.926618939053768,115.85845308056028,Entire home/apt,102,1,28,2018-06-30,0.50,1,283
292384,The Beach Cockatoo for Two  ,1495553,Paul,,JOONDALUP,-31.7863718654303,115.76427296835638,Entire home/apt,125,4,1,2016-01-11,0.03,1,365
297746,Less than 20 Min to Perth Airport. ,1535254,John,,SWAN,-31.865176683948924,116.05207567587942,Private room,67,1,41,2016-11-05,0.53,3,363
297749,Private Bedroom (2)  Pool + B/R,1535254,John,,SWAN,-31.864056523216078,116.05198765496095,Private room,67,1,14,2015-09-22,0.18,3,363
299829,Amazing Polehome! Haven of peace,1545083,Heike,,KALAMUNDA,-31.988060431334905,116.04018619408248,Private room,96,1,0,,,1,365
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03118416744164,115.9583843603231,Private room,54,7,3,2016-10-05,0.04,8,365
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03127623489569,115.95899409012888,Private room,36,7,7,2014-03-09,0.10,8,365
311393,Margaret River Prevelly beach-studio,1601931,Caz,,AUGUSTA-MARGARET RIVER,-33.98634491011451,114.9956132089275,Entire home/apt,131,2,15,2018-05-27,0.41,1,172
315801,Fully Furnished Room / Studio,1621815,Phoebe,,MELVILLE,-32.02960058971407,115.83063873484015,Private room,61,2,7,2018-04-25,0.11,1,320
332709,Swan Valley Retreat Jane Brook WA,1535254,John,,SWAN,-31.8658360884729,116.05148416443262,Private room,67,1,13,2016-12-31,0.17,3,365
332871,FREMANTLE OCEAN VIEWS TO ISLANDS,1696375,Sue,,FREMANTLE,-32.04845786902395,115.75763308120497,Entire home/apt,122,2,32,2018-01-08,0.41,1,237
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.027148329695265,117.88658002132144,Entire home/apt,101,1,200,2018-06-10,2.58,1,50
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02555170678571,117.9098950559213,Entire home/apt,250,2,30,2018-06-08,1.70,1,332
364276,Retro Railway Carriage at Rusty Hollow Farm,555271,Debra & Peter,,SWAN,-31.9118608253894,116.00940904434,Entire home/apt,55,1,122,2018-06-04,2.37,2,0
371974,Large Studio Apartment Vic Park!,1873031,Anton,,CANNING,-31.99994939778767,115.91238395679576,Entire home/apt,59,7,25,2017-05-06,0.35,3,332
373548,Large home   with own ensuite bathroom,1873031,Anton,,VICTORIA PARK,-31.980844938049344,115.89498131416704,Private room,34,5,16,2017-05-23,0.29,3,349
373860,Standard double room AC NBN,1548293,Yan,,GOSNELLS,-32.031520878585404,115.95713584656069,Private room,43,7,2,2014-09-11,0.04,8,313
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.0161378866174,115.90705945882952,Entire home/apt,800,2,38,2015-12-08,0.50,1,364
392186,Room Near City/Beach/UWA & Hospital,1960436,Elizabeth,,NEDLANDS,-31.966956694855316,115.79238163579726,Private room,61,4,4,2012-12-08,0.06,1,365
401138, inviting warm home with the owners,2002278,Jann,,KALAMUNDA,-31.97571240735142,116.01980473165916,Private room,61,1,4,2016-08-26,0.06,2,365
402310,"location, location, location. Private with ensuite",2008200,Caroline,,SOUTH PERTH,-31.981337390295167,115.87364415702834,Private room,79,3,10,2017-04-09,0.26,1,156
408361,Guest room in private beach house ,1828087,Hope,,ROCKINGHAM,-32.27887967905707,115.72031514150139,Private room,50,1,37,2018-01-05,0.49,1,0
414417,Old World Charm Home in Cottesloe,1341218,David & Inge,,COTTESLOE,-31.99888440434371,115.75851438317885,Entire home/apt,481,3,13,2018-06-02,0.24,4,363
420848,Modern Comfortable Accommodation,2093032,Deb & Tony,,WANNEROO,-31.724028536588623,115.78601250007402,Private room,96,2,6,2016-09-06,0.08,1,365
423049,Cycling Heaven in the City!,2103766,Rick & Sandi,,BASSENDEAN,-31.897390294130474,115.94971736489117,Private room,149,1,0,,,1,365
423227,Eclectic Room for Vegan Guests,1724505,Linda,,VINCENT,-31.938849401971563,115.88109799740293,Private room,61,2,46,2018-05-06,0.64,2,360
428002,Spacious queen room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03205885750756,115.95825640035132,Private room,54,7,4,2016-03-05,0.06,8,365
429588,"2 Bdrm, 1 Bthrm-City-WIFI-Pool-on Free Bus Route",2091272,Brenda,,PERTH,-31.959325047969557,115.8721989395673,Entire home/apt,271,2,20,2018-06-18,0.45,3,361
430617,"AIRPORT, CBD, 5 MIN WALK TRANSPORT CONVENIENCE",2140875,Debbie,,BELMONT,-31.942760352849092,115.93714952084525,Private room,34,2,0,,,1,87
433850,Blue Lilly! Fremantle Garden Studio,2156223,Silke,,FREMANTLE,-32.06522613665592,115.75460445157508,Entire home/apt,97,3,97,2018-05-21,1.36,1,179
