id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,95,1,34,2021-03-29,0.33,1,78
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,65,1,0,,,1,364
42713,Bed with Breakfast,186576,,,IRWIN,-29.25216,114.93205,Private room,94,1,10,2021-04-24,0.14,1,365
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.06,1,362
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,70,2,248,2021-03-28,2.08,1,82
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,78,2,6,2021-03-12,0.14,1,357
81044,Welcome Home Family Villa near Fremantle,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,156,5,9,2021-03-03,0.11,1,299
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.94299,115.85704,Private room,70,2,182,2021-01-06,1.49,2,229
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,214,2020-03-11,1.76,1,333
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,60,2,22,2019-11-24,0.19,3,362
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,323,5,3,2020-11-30,0.11,5,259
142214,Templemore Gardens_Queen Bedroom,691076,Pauline,,SOUTH PERTH,-32.0181,115.88529,Private room,83,2,14,2017-12-03,0.13,1,365
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.93846,115.86798,Private room,50,1,102,2021-03-28,0.86,1,363
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,150,2,26,2021-04-06,0.25,2,361
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.94108,115.85282,Private room,40,2,48,2021-03-20,0.41,2,168
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home/apt,209,2,98,2021-04-17,1.06,1,279
