id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00870728532935,115.86406572293853,Private room,99,2,8,2018-12-30,0.10,1,148
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806054430756,115.87673616505825,Private room,69,1,0,,,1,365
42713,Bed with Breakfast,186576,Not,,IRWIN,-29.252155178274787,114.93204745888801,Private room,94,1,3,2015-09-20,0.07,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00394573231162,115.91394370337542,Private room,59,3,0,,,2,365
46463,HideAway Haven-Luxury Accommodation,207854,Maggie,,ALBANY,-34.98551414124771,117.92371287947643,Private room,295,1,3,2018-09-24,0.03,1,365
58329,Trewent Farmhouse -  rustic & rambling,277321,Karen,,MANJIMUP,-34.355424667840204,116.18266704177697,Entire home/apt,215,2,28,2018-11-18,0.33,2,341
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592310209674,115.93187671366992,Private room,65,1,7,2018-04-28,0.07,1,362
59917,Santa Maria Room! Fremantle,288343,Allan,,FREMANTLE,-32.06883443590593,115.77680932233599,Private room,189,2,0,,,3,364
60102,Leeuwin Room! Fremantle,288343,Allan,,FREMANTLE,-32.06750787515015,115.77665717131987,Private room,168,2,0,,,3,364
60103,Endeavour Room! Fremantle,288343,Allan,,FREMANTLE,-32.067367030988926,115.7771507450146,Private room,168,2,0,,,3,364
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964122807801,115.76582013936017,Entire home/apt,47,2,182,2019-02-01,1.97,1,334
69534,Palms Bed and Breakfast,348191,Teresa,,JOONDALUP,-31.84381822891661,115.8065877982438,Private room,75,2,1,2017-10-03,0.06,2,343
69661,3* Registered BB,348191,Teresa,,JOONDALUP,-31.844036191916075,115.80631323674955,Private room,80,2,1,2016-07-12,0.03,2,365
76855,Sunny Space Betw Perth & Fremantle,353141,Richie & Gill,,MELVILLE,-32.043125382503405,115.82904744714135,Private room,90,1,14,2016-07-23,0.16,1,365
81044,Welcome Home Family Villa near Freo,431695,Carol,,MELVILLE,-32.04561303913653,115.78330093925597,Entire home/apt,120,4,4,2018-04-30,0.07,1,210
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727304604206,115.88767609019435,Private room,99,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942992231189745,115.85703728794829,Private room,70,2,135,2019-01-10,1.42,2,228
97608,"single bed and cozy room, melville.",423161,Paul Pax,,MELVILLE,-32.044277095153255,115.79709627265734,Private room,46,1,23,2017-04-01,0.24,1,365
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.921770175362344,115.87689887254864,Private room,50,2,184,2019-01-05,1.95,1,334
102501,Rooms to let. 1-3 guests. NBN. Quiet. Nr  beach.,535797,Liz,,STIRLING,-31.913162383689603,115.78192614961154,Private room,52,5,0,,,2,89
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.814178960944773,115.74193581241889,Private room,50,2,20,2018-08-18,0.22,3,365
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.653240600286992,115.69228430532215,Private room,195,2,0,,,1,365
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98307534755648,117.35286202379278,Entire home/apt,259,5,0,,,4,334
142567,Templemore Gardens_Single Bedroom 1,691076,Pauline,,SOUTH PERTH,-32.017500590878846,115.88601572741499,Private room,73,2,23,2019-01-31,0.26,2,357
152402,"Room for two Close to Perth's Beaches! Shops, etc.",733345,Jacqueline,,JOONDALUP,-31.774813424170816,115.76470271397064,Private room,70,1,43,2019-01-25,0.48,3,364
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.938464154831742,115.8679829928562,Private room,70,1,81,2018-12-23,0.89,2,355
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746154626743,115.65358544905594,Entire home/apt,126,2,14,2018-04-23,0.19,2,237
178529,Reuben House Master Room Fremantle,854483,Brenda,,FREMANTLE,-32.06446208151134,115.758597532419,Private room,70,7,5,2012-09-04,0.06,8,308
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.941081974229636,115.85281941460973,Private room,59,4,47,2018-07-21,0.53,2,155
